DDSM_RSNA_Vindr;DDSM_Vindr_RSNA;RSNA_DDSM_Vindr;RSNA_Vindr_DDSM;Vindr_DDSM_RSNA;Vindr_RSNA_DDSM;
0,0924;-0,1195;0,153;0,135;0,2943;-0,0495;
-0,0792;0,1305;0,2314;0,3075;0,2769;0,0495;
0,1089;-0,042;0,2333;0,1128;0,3195;0,033;
0,1782;-0,1239;0,3088;0,0221;0,302;0,0066;
0,0693;-0,3761;0,1268;0,1084;0,2846;0,0396;
0,0495;0,0022;0,3156;0,3319;0,3011;0,0759;
-0,0495;0,0354;0,1171;-0,0288;0,2662;-0,1023;
0,1122;0,0066;0,2546;0,1416;0,274;-0,0759;
