DDSM_RSNA_Vindr;DDSM_Vindr_RSNA;RSNA_DDSM_Vindr;RSNA_Vindr_DDSM;Vindr_DDSM_RSNA;Vindr_RSNA_DDSM;
-0,0495;-0,0819;0,3764;0,3385;0,2642;-0,0033;
0,0891;-0,1704;0,4322;0,1128;0,3834;0,1023;
0,0759;0,0221;0,2213;0,2367;0,3665;0,0957;
0,1188;0,0177;0,3916;0,0929;0,3183;0,0594;
0,1056;-0,0044;0,3084;0,1681;0,3107;0,0363;
0,1221;0,031;0,165;0,2522;0,3098;0,0231;
0,0066;0,0664;0,3867;0,0265;0,293;-0,0165;
0,0099;-0,0177;0,3035;0,1704;0,4225;0,0792;
